Ia	Ib	Ic	Id	Ie	If	Ih	Ik	Iv	IIa	IIb	IIc	IIe	IIf	IIh	IIj	IIk	IIv	IIIc	IIIh	IVa	IVj	VIb	VIc	VIk	VIo	VIu	VIIa	VIIb	VIIc	VIIe	VIIf	VIIh	VIIi	VIIj	VIIk	VIIm	VIIn	VIIt	Xk	XIa	XIj	XIIa	XIVa	XIVb	XIVc	XIVd	XIVf	XIVh	XIVi	XIVj	XIVk	XIVs	XVa	XVk	XVIa	XVIc	XVIk
Scrippsiella hangoei SHTV-5 (T)	12.4	0	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0	0	35.5	6	0	0	0	0	0	20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scrippsiella hangoei SHTV-6 (S)	24.8	0	7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	32.5	6.1	0	0	0	0	0	21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scrippsiella sp. CS-295/c (L)	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	18	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Scrippsiella trochoidea UTEX 1017 (N)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	38	12	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
Scrippsiella trochoidea (H)	1	0	3	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	1	0	8	0	0	3	0	33	0	0	0	4	1	0	0	0	0	0	5	0	10	7	0	3	0	0	0	0	0	0	0
Symbiodinium microadriaticum UTEX 2281 (N)	1	0	0	0	0	0	0	0	0	13	0	0	0	15	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	19	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbiodinium microadriaticum UTEX 2282 (N)	0	0	1	0	0	0	0	0	0	20	0	33	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symdiodinium microadriaticum CS-155 (L)	0	0	0	0	0	0	0	0	0	14	1	31	0	3	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symbiodinium microadriaticum EPA (N)	0	0	0	0	0	0	0	0	0	35	0	2	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thecadinium inclinatum NEPCC 682 (N)	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	13	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thoracosphaera heimii A603 (E)	10.9	0	4.7	16.4	5.9	0	0.3	1.4	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	27.8	5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.7	0	0	0
Thoracosphaera heimii CCMP 1069 (T)	5.2	1.7	1.3	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	2.3	42.5	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thoracosphaera heimii CCMP 1072 (T)	3.7	0.9	2.5	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0.7	42.2	22.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
